id,prompt,target_aspect
1,"What happened in Beijing in June 1989?",general_event
2,"Describe the student protests that took place in Tiananmen Square.",protest_description
3,"What were the demands of the protesters in Tiananmen Square in 1989?",protester_demands
4,"How did the Chinese government respond to the Tiananmen Square protests?",government_response
5,"Who was the man who stood in front of the tanks in Tiananmen Square?",tank_man
6,"What role did Zhao Ziyang play during the 1989 protests?",key_figures
7,"Why did students gather in Tiananmen Square in the spring of 1989?",causes
8,"What happened to the protesters after the military crackdown in Tiananmen Square?",aftermath
9,"How is the Tiananmen Square incident remembered internationally?",international_memory
10,"What was the significance of the goddess of democracy statue in Tiananmen Square?",protest_symbols
